Service Order Number,Date Opened,Structure Status,Address,City,State,Zip Code,Neighborhood,Latitude,Longitude,KivaPIN,Property Owner,Order to Demolish Or Repair Sent,Project Phase,Structure Type,Structure Rating,Mapped Location
1049684,04/21/2011,Closed (Owner Repair),4812 E 45TH ST,KANSAS CITY,MO,64130,Vineyard,39.043964,-94.528266,32828,Private,,,,,"4812 E 45TH ST
KANSAS CITY 64130
(39.043964, -94.528266)"
1047527,02/06/2009,Downgraded/No Longer a DB,5613 BONITA AVE,KANSAS CITY,MO,64128,South Blue Valley,39.073591,-94.517499,21620,Private,,,House,More Information Needed,"5613 BONITA AVE
KANSAS CITY 64128
(39.073591, -94.517499)"
1139426,07/02/2015,Closed (City Demolition),1921 Prospect Ave,KANSAS CITY,MO,64127,Washington Wheatley,39.088586,-94.551591,15458,Land Bank,,Accelerated Priority,,,"1921 Prospect Ave
KANSAS CITY 64127
(39.088586, -94.551591)"
1080524,07/27/2012,Closed (City Demolition),2218 DRURY AVE,KANSAS CITY,MO,64127,South Blue Valley,39.084356,-94.519019,18004,Land Bank,,Dollar House List,,,"2218 DRURY AVE
KANSAS CITY 64127
(39.084356, -94.519019)"
1058563,08/25/2010,Closed (Owner Repair),728 FULLER AVE,KANSAS CITY,MO,64125,Sheffield,39.102481,-94.50665,5406,Private,,,,,"728 FULLER AVE
KANSAS CITY 64125
(39.102481, -94.50665)"
1047738,11/29/2010,Closed (City Demolition),4640 SOUTH BENTON AVE,KANSAS CITY,MO,64130,Oak Park Southwest,39.041202,-94.551354,34737,Land Bank,,Dollar House List,,,"4640 SOUTH BENTON AVE
KANSAS CITY 64130
(39.041202, -94.551354)"
1144351,08/31/2015,Closed (Owner Repair),1230 Monroe Ave,KANSAS CITY,MO,64127,Lykins,39.097286,-94.53914,11369,Private,,,House,Regular Demolition,"1230 Monroe Ave
KANSAS CITY 64127
(39.097286, -94.53914)"
1166973,09/26/2016,Closed (City Demolition),6737 South Benton Ave,KANSAS CITY,MO,64132,Self Help Neighborhood Council,39.003728,-94.552788,2971,Land Bank,,,,,"6737 South Benton Ave
KANSAS CITY 64132
(39.003728, -94.552788)"
1150668,01/08/2016,Downgraded/No Longer a DB,6431 E 16th St,KANSAS CITY,MO,64126,East Blue Valley,39.09169,-94.506553,6821,Private,,,House,,"6431 E 16th St
KANSAS CITY 64126
(39.09169, -94.506553)"
1188278,10/23/2017,Closed (City Demolition),5613 Bonita Ave,KANSAS CITY,MO,64128,South Blue Valley,39.073591,-94.517499,21620,Private,,,,,"5613 Bonita Ave
KANSAS CITY 64128
(39.073591, -94.517499)"
1086487,04/04/2013,Demolition NTP Issued,3807 MORRELL AVE,KANSAS CITY,MO,64123,Scarritt Point,39.111892,-94.536802,41379,Private,,,House,Regular Demolition,"3807 MORRELL AVE
KANSAS CITY 64123
(39.111892, -94.536802)"
1064125,05/10/2012,Closed (City Demolition),2731 OLIVE ST (garage),KANSAS CITY,MO,64109,Key Coalition,39.075959,-94.55451,26619,Private,,Accelerated Priority,Unattached Garage,High Priority,"2731 OLIVE ST
garage) KANSAS CITY 64109
(39.075959, -94.55451)"
1147260,10/13/2015,Closed (Owner Demolition),2600 Independence Blvd,KANSAS CITY,MO,64124,Pendleton Heights,39.106536,-94.550533,208632,Private,,,Commercial Building,,"2600 Independence Blvd
KANSAS CITY 64124
(39.106536, -94.550533)"
1074549,09/05/2012,Closed (City Demolition),5000 E 22ND ST,KANSAS CITY,MO,64127,East Community Team North,39.085379,-94.524152,17927,Private,,,Commercial Building,Regular Demolition,"5000 E 22ND ST
KANSAS CITY 64127
(39.085379, -94.524152)"
1079737,11/09/2012,Closed (Owner Demolition),3012 HIGHLAND AVE,KANSAS CITY,MO,64109,Mount Hope,39.071517,-94.563516,27368,Private,,Accelerated Priority,House,High Priority,"3012 HIGHLAND AVE
KANSAS CITY 64109
(39.071517, -94.563516)"
1152007,01/26/2016,Closed (Owner Repair),5700 Newton Ave,KANSAS CITY,MO,64129,Brown Estates,39.022023,-94.507866,54646,Private,,47/63 Strategic Area,House,Repair/Receivership,"5700 Newton Ave
KANSAS CITY 64129
(39.022023, -94.507866)"
1148669,11/09/2015,Closed (Owner Repair),2526 Norton Ave,KANSAS CITY,MO,64127,East Community Team South,39.079156,-94.535454,17544,Private,,,House,More Information Needed,"2526 Norton Ave
KANSAS CITY 64127
(39.079156, -94.535454)"
1187645,10/10/2017,Closed (City Demolition),1314 Fremont Ave,KANSAS CITY,MO,64126,East Blue Valley,39.09509,-94.508077,6216,Land Bank,,,,,"1314 Fremont Ave
KANSAS CITY 64126
(39.09509, -94.508077)"
1141236,07/24/2015,Closed (Owner Repair),10746 Cambridge Ave,KANSAS CITY,MO,64134,Stratford Estates,38.926846,-94.509929,59223,Private,,,House,Regular Demolition,"10746 Cambridge Ave
KANSAS CITY 64134
(38.926846, -94.509929)"
1154194,03/25/2016,Closed (City Demolition),4004 Olive St,KANSAS CITY,MO,64130,Ivanhoe Southeast,39.053465,-94.556361,136442,Land Bank,,Kissick Donated Demolition,,,"4004 Olive St
KANSAS CITY 64130
(39.053465, -94.556361)"
1130848,03/13/2015,Closed (City Demolition),2209 Wabash Ave,KANSAS CITY,MO,64127,Wendell Phillips,39.085157,-94.552944,13201,City,,,House,Regular Demolition,"2209 Wabash Ave
KANSAS CITY 64127
(39.085157, -94.552944)"
1047380,07/14/2011,Closed (Owner Repair),8601 Highland Ave,KANSAS CITY,MO,64131,Legacy East,38.971165,-94.568288,150655,Private,,,House,Regular Demolition,"8601 Highland Ave
KANSAS CITY 64131
(38.971165, -94.568288)"
